aid:ID,:LABEL,label
71,Article,article
538,Article,article
1785,Article,article
3722,Article,article
4938,Article,article
5839,Article,article
6069,Article,article
6752,Article,article
7305,Article,article
7905,Article,article
8869,Article,article
9065,Article,article
9648,Article,article
10231,Article,article
10656,Article,article
11215,Article,article
11665,Article,article
12206,Article,article
12681,Article,article
13380,Article,article
13904,Article,article
16227,Article,article
16939,Article,article
17258,Article,article
17485,Article,article
17857,Article,article
17954,Article,article
18145,Article,article
18827,Article,article
19308,Article,article
19863,Article,article
20367,Article,article
20691,Article,article
20854,Article,article
21165,Article,article
21356,Article,article
21357,Article,article
22042,Article,article
22832,Article,article
23199,Article,article
24342,Article,article
24657,Article,article
24767,Article,article
25213,Article,article
25290,Article,article
25595,Article,article
26396,Article,article
26550,Article,article
26798,Article,article
26996,Article,article
27195,Article,article
27624,Article,article
27906,Article,article
28128,Article,article
28189,Article,article
28283,Article,article
28640,Article,article
28982,Article,article
29023,Article,article
29372,Article,article
29832,Article,article
30123,Article,article
30523,Article,article
30981,Article,article
31511,Article,article
31874,Article,article
32454,Article,article
33423,Article,article
33594,Article,article
33923,Article,article
34024,Article,article
34950,Article,article
35561,Article,article
35738,Article,article
36080,Article,article
36188,Article,article
36417,Article,article
36488,Article,article
36790,Article,article
36930,Article,article
