neid:ID,:LABEL,name
0,NamedEntity,ORGANIZATION
1,NamedEntity,LOCATION
2,NamedEntity,PERSON
3,NamedEntity,PERCENT
4,NamedEntity,MONEY
5,NamedEntity,DATE
6,NamedEntity,TIME
7,NamedEntity,NATIONALITY
8,NamedEntity,MISC
9,NamedEntity,CITY
10,NamedEntity,SET
11,NamedEntity,URL
12,NamedEntity,RELIGION
13,NamedEntity,ORDINAL
14,NamedEntity,CAUSE_OF_DEATH
15,NamedEntity,NUMBER
16,NamedEntity,CRIMINAL_CHARGE
17,NamedEntity,STATE_OR_PROVINCE
18,NamedEntity,DURATION
19,NamedEntity,COUNTRY
20,NamedEntity,TITLE
21,NamedEntity,IDEOLOGY
22,NamedEntity,O
