from:START_ID,to:END_ID,:TYPE
133,0,IS
140,0,IS
151,0,IS
155,0,IS
159,0,IS
162,0,IS
164,0,IS
171,0,IS
175,0,IS
177,0,IS
183,0,IS
184,0,IS
187,0,IS
65,0,IS
196,0,IS
69,0,IS
199,0,IS
200,0,IS
204,0,IS
206,0,IS
79,0,IS
82,0,IS
84,0,IS
86,0,IS
217,0,IS
220,0,IS
223,0,IS
99,0,IS
101,0,IS
231,0,IS
106,0,IS
236,0,IS
111,0,IS
229,0,IS
114,0,IS
117,0,IS
123,0,IS
126,0,IS
129,1,IS
214,1,IS
134,1,IS
135,1,IS
136,1,IS
137,1,IS
153,1,IS
161,1,IS
165,1,IS
168,1,IS
176,1,IS
180,1,IS
181,1,IS
190,1,IS
71,1,IS
202,1,IS
75,1,IS
213,1,IS
86,1,IS
215,1,IS
90,1,IS
94,1,IS
225,1,IS
102,1,IS
103,1,IS
237,1,IS
238,1,IS
240,1,IS
128,2,IS
224,2,IS
194,2,IS
167,2,IS
104,2,IS
239,2,IS
226,2,IS
143,2,IS
210,2,IS
211,2,IS
218,2,IS
221,2,IS
125,2,IS
76,3,IS
191,3,IS
64,4,IS
193,4,IS
98,4,IS
163,4,IS
68,4,IS
230,4,IS
232,4,IS
170,4,IS
139,4,IS
142,4,IS
207,4,IS
83,4,IS
148,4,IS
219,4,IS
158,4,IS
63,4,IS
97,5,IS
66,5,IS
147,5,IS
72,5,IS
169,5,IS
138,5,IS
172,5,IS
130,5,IS
189,5,IS
112,5,IS
144,5,IS
116,5,IS
201,5,IS
185,5,IS
157,5,IS
81,6,IS
233,7,IS
108,7,IS
110,7,IS
150,7,IS
121,7,IS
152,7,IS
89,7,IS
91,7,IS
93,7,IS
95,7,IS
96,8,IS
67,8,IS
228,8,IS
74,8,IS
107,8,IS
205,8,IS
127,8,IS
209,10,IS
107,10,IS
192,11,IS
195,11,IS
132,11,IS
70,11,IS
145,11,IS
73,11,IS
203,11,IS
141,11,IS
80,11,IS
120,11,IS
115,11,IS
182,11,IS
105,11,IS
88,11,IS
154,11,IS
92,11,IS
222,11,IS
119,13,IS
109,17,IS
188,24,IS
156,24,IS
234,26,IS
173,26,IS
198,26,IS
109,30,IS
92,31,IS
208,33,IS
216,33,IS
122,33,IS
100,33,IS
186,33,IS
197,35,IS
124,35,IS
118,35,IS
78,35,IS
149,35,IS
160,36,IS
227,36,IS
166,36,IS
235,36,IS
174,36,IS
113,36,IS
179,36,IS
212,36,IS
131,39,IS
178,40,IS
146,42,IS
77,43,IS
85,44,IS
87,45,IS
77,46,IS
