from:START_ID,to:END_ID,:TYPE
8212,0,IS
8217,0,IS
16409,0,IS
24634,0,IS
24637,0,IS
24638,0,IS
24640,0,IS
75,0,IS
78,0,IS
24654,0,IS
80,0,IS
81,0,IS
85,0,IS
86,0,IS
104,0,IS
8297,0,IS
8299,0,IS
24686,0,IS
112,0,IS
24688,0,IS
24690,0,IS
117,0,IS
118,0,IS
125,0,IS
129,0,IS
134,0,IS
135,0,IS
137,0,IS
148,0,IS
164,0,IS
8357,0,IS
16550,0,IS
16558,0,IS
24751,0,IS
178,0,IS
32966,0,IS
24789,0,IS
8407,0,IS
219,0,IS
24799,0,IS
24802,0,IS
24804,0,IS
16616,0,IS
33022,0,IS
33024,0,IS
33025,0,IS
260,0,IS
261,0,IS
262,0,IS
263,0,IS
8455,0,IS
16644,0,IS
266,0,IS
267,0,IS
268,0,IS
269,0,IS
270,0,IS
271,0,IS
273,0,IS
274,0,IS
278,0,IS
279,0,IS
24861,0,IS
24862,0,IS
24863,0,IS
16679,0,IS
16680,0,IS
8500,0,IS
311,0,IS
24888,0,IS
24890,0,IS
16702,0,IS
334,0,IS
33108,0,IS
16729,0,IS
16730,0,IS
8541,0,IS
16739,0,IS
16745,0,IS
364,0,IS
369,0,IS
33138,0,IS
375,0,IS
8572,0,IS
8573,0,IS
8575,0,IS
8577,0,IS
16771,0,IS
16775,0,IS
8583,0,IS
8587,0,IS
8588,0,IS
8589,0,IS
8590,0,IS
24977,0,IS
24978,0,IS
16796,0,IS
413,0,IS
16797,0,IS
8604,0,IS
16805,0,IS
421,0,IS
8616,0,IS
16808,0,IS
16812,0,IS
16813,0,IS
16814,0,IS
25007,0,IS
16816,0,IS
16817,0,IS
8629,0,IS
8630,0,IS
8631,0,IS
8632,0,IS
8634,0,IS
16831,0,IS
25040,0,IS
8657,0,IS
8658,0,IS
25041,0,IS
8662,0,IS
8663,0,IS
8664,0,IS
8665,0,IS
8666,0,IS
25046,0,IS
33240,0,IS
16863,0,IS
16864,0,IS
25056,0,IS
484,0,IS
486,0,IS
8679,0,IS
488,0,IS
25063,0,IS
25064,0,IS
16875,0,IS
25065,0,IS
8685,0,IS
499,0,IS
16883,0,IS
16884,0,IS
503,0,IS
504,0,IS
25080,0,IS
25082,0,IS
25079,0,IS
510,0,IS
16898,0,IS
516,0,IS
517,0,IS
25093,0,IS
519,0,IS
8711,0,IS
25094,0,IS
8714,0,IS
25099,0,IS
8718,0,IS
25103,0,IS
33294,0,IS
8722,0,IS
531,0,IS
8723,0,IS
8724,0,IS
33298,0,IS
539,0,IS
540,0,IS
546,0,IS
16932,0,IS
16933,0,IS
16934,0,IS
33318,0,IS
33319,0,IS
33320,0,IS
8742,0,IS
553,0,IS
8749,0,IS
8752,0,IS
25137,0,IS
25138,0,IS
8768,0,IS
16961,0,IS
16962,0,IS
8773,0,IS
8774,0,IS
25157,0,IS
8777,0,IS
16970,0,IS
16971,0,IS
588,0,IS
25162,0,IS
16976,0,IS
8785,0,IS
8786,0,IS
16977,0,IS
16978,0,IS
16979,0,IS
593,0,IS
603,0,IS
16988,0,IS
605,0,IS
25183,0,IS
16994,0,IS
16995,0,IS
17003,0,IS
25202,0,IS
25204,0,IS
8820,0,IS
33396,0,IS
33401,0,IS
33404,0,IS
8831,0,IS
33409,0,IS
33411,0,IS
33418,0,IS
33419,0,IS
33420,0,IS
655,0,IS
17042,0,IS
17048,0,IS
17049,0,IS
25241,0,IS
33436,0,IS
33437,0,IS
25249,0,IS
8866,0,IS
17060,0,IS
8870,0,IS
680,0,IS
8873,0,IS
8874,0,IS
683,0,IS
685,0,IS
686,0,IS
25265,0,IS
25266,0,IS
8889,0,IS
8890,0,IS
8891,0,IS
25277,0,IS
17088,0,IS
706,0,IS
719,0,IS
17105,0,IS
25313,0,IS
25314,0,IS
17124,0,IS
17125,0,IS
740,0,IS
25320,0,IS
25321,0,IS
25322,0,IS
33515,0,IS
33516,0,IS
33517,0,IS
25326,0,IS
25327,0,IS
25328,0,IS
25330,0,IS
8947,0,IS
8948,0,IS
775,0,IS
776,0,IS
777,0,IS
778,0,IS
789,0,IS
8984,0,IS
17181,0,IS
803,0,IS
804,0,IS
805,0,IS
17190,0,IS
813,0,IS
17200,0,IS
17201,0,IS
17204,0,IS
17205,0,IS
33593,0,IS
17220,0,IS
842,0,IS
17232,0,IS
9041,0,IS
17234,0,IS
25434,0,IS
17254,0,IS
9072,0,IS
9078,0,IS
17272,0,IS
17273,0,IS
17277,0,IS
17278,0,IS
17281,0,IS
17282,0,IS
17283,0,IS
25473,0,IS
9093,0,IS
9094,0,IS
9095,0,IS
9096,0,IS
25475,0,IS
25476,0,IS
9099,0,IS
9100,0,IS
9101,0,IS
9102,0,IS
17287,0,IS
9103,0,IS
9105,0,IS
9106,0,IS
9107,0,IS
9108,0,IS
9109,0,IS
25495,0,IS
25496,0,IS
9113,0,IS
9114,0,IS
9115,0,IS
9116,0,IS
9117,0,IS
924,0,IS
17311,0,IS
25497,0,IS
25498,0,IS
25511,0,IS
25512,0,IS
25513,0,IS
17323,0,IS
33710,0,IS
33711,0,IS
17329,0,IS
17330,0,IS
17336,0,IS
17337,0,IS
9151,0,IS
9153,0,IS
9154,0,IS
9155,0,IS
9156,0,IS
9157,0,IS
25540,0,IS
9166,0,IS
9174,0,IS
25558,0,IS
9176,0,IS
33751,0,IS
25569,0,IS
17383,0,IS
1000,0,IS
17384,0,IS
17385,0,IS
25584,0,IS
33778,0,IS
33783,0,IS
1018,0,IS
33789,0,IS
25600,0,IS
33792,0,IS
33793,0,IS
33795,0,IS
17426,0,IS
1046,0,IS
25622,0,IS
