from:START_ID,to:END_ID,:TYPE,contained_in:INT[]
86,231,FOLLOWED_BY,62
209,109,FOLLOWED_BY,62
86,87,FOLLOWED_BY,62
92,93,FOLLOWED_BY,62
70,161,FOLLOWED_BY,62
167,88,FOLLOWED_BY,62
109,197,FOLLOWED_BY,62
204,115,FOLLOWED_BY,62
130,74,FOLLOWED_BY,62
72,73,FOLLOWED_BY,62
67,200,FOLLOWED_BY,62
94,95,FOLLOWED_BY,62
174,141,FOLLOWED_BY,62
67,102,FOLLOWED_BY,62
170,171,FOLLOWED_BY,62
182,74,FOLLOWED_BY,62
127,128,FOLLOWED_BY,62
144,145,FOLLOWED_BY,62
169,74,FOLLOWED_BY,62
74,133,FOLLOWED_BY,62
217,218,FOLLOWED_BY,62
122,123,FOLLOWED_BY,62
133,80,FOLLOWED_BY,62
128,70,FOLLOWED_BY,62
76,77,FOLLOWED_BY,62
183,184,FOLLOWED_BY,62
212,63,FOLLOWED_BY,62
213,214,FOLLOWED_BY,62
193,194,FOLLOWED_BY,62
77,166,FOLLOWED_BY,62
100,101,FOLLOWED_BY,62
135,66,FOLLOWED_BY,62
154,74,FOLLOWED_BY,62
177,77,FOLLOWED_BY,62
92,216,FOLLOWED_BY,62
91,92,FOLLOWED_BY,62
163,164,FOLLOWED_BY,62
85,152,FOLLOWED_BY,62
142,143,FOLLOWED_BY,62
115,74,FOLLOWED_BY,62
81,136,FOLLOWED_BY,62
68,69,FOLLOWED_BY,62
158,159,FOLLOWED_BY,62
96,86,FOLLOWED_BY,62
81,224,FOLLOWED_BY,62
236,80,FOLLOWED_BY,62
195,196,FOLLOWED_BY,62
69,77,FOLLOWED_BY,62
109,210,FOLLOWED_BY,62
148,71,FOLLOWED_BY,62
92,228,FOLLOWED_BY,62
114,115,FOLLOWED_BY,62
115,67,FOLLOWED_BY,62
180,181,FOLLOWED_BY,62
77,169,FOLLOWED_BY,62
155,77,FOLLOWED_BY,62
107,108,FOLLOWED_BY,62
77,107,FOLLOWED_BY,62
171,77,FOLLOWED_BY,62
97,88,FOLLOWED_BY,62
168,77,FOLLOWED_BY,62
226,227,FOLLOWED_BY,62
66,160,FOLLOWED_BY,62
109,110,FOLLOWED_BY,62
111,112,FOLLOWED_BY,62
71,77,FOLLOWED_BY,62
165,77,FOLLOWED_BY,62
173,174,FOLLOWED_BY,62
140,141,FOLLOWED_BY,62
74,155,FOLLOWED_BY,62
156,157,FOLLOWED_BY,62
63,83,FOLLOWED_BY,62
110,111,FOLLOWED_BY,62
67,68,FOLLOWED_BY,62
205,206,FOLLOWED_BY,62
221,77,FOLLOWED_BY,62
132,74,FOLLOWED_BY,62
63,165,FOLLOWED_BY,62
150,151,FOLLOWED_BY,62
131,77,FOLLOWED_BY,62
69,70,FOLLOWED_BY,62
77,185,FOLLOWED_BY,62
74,218,FOLLOWED_BY,62
206,207,FOLLOWED_BY,62
67,158,FOLLOWED_BY,62
74,79,FOLLOWED_BY,62
92,208,FOLLOWED_BY,62
95,77,FOLLOWED_BY,62
192,193,FOLLOWED_BY,62
67,230,FOLLOWED_BY,62
77,222,FOLLOWED_BY,62
196,109,FOLLOWED_BY,62
65,66,FOLLOWED_BY,62
74,175,FOLLOWED_BY,62
200,69,FOLLOWED_BY,62
152,153,FOLLOWED_BY,62
159,146,FOLLOWED_BY,62
172,173,FOLLOWED_BY,62
77,138,FOLLOWED_BY,62
91,146,FOLLOWED_BY,62
74,102,FOLLOWED_BY,62
201,202,FOLLOWED_BY,62
123,70,FOLLOWED_BY,62
235,115,FOLLOWED_BY,62
240,233,FOLLOWED_BY,62
102,116,FOLLOWED_BY,62
77,188,FOLLOWED_BY,62
225,77,FOLLOWED_BY,62
227,92,FOLLOWED_BY,62
86,172,FOLLOWED_BY,62
74,183,FOLLOWED_BY,62
77,137,FOLLOWED_BY,62
146,74,FOLLOWED_BY,62
103,104,FOLLOWED_BY,62
88,74,FOLLOWED_BY,62
228,229,FOLLOWED_BY,62
80,134,FOLLOWED_BY,62
78,74,FOLLOWED_BY,62
109,162,FOLLOWED_BY,62
238,239,FOLLOWED_BY,62
139,140,FOLLOWED_BY,62
81,74,FOLLOWED_BY,62
161,109,FOLLOWED_BY,62
86,81,FOLLOWED_BY,62
100,199,FOLLOWED_BY,62
73,74,FOLLOWED_BY,62
178,112,FOLLOWED_BY,62
66,67,FOLLOWED_BY,62
87,154,FOLLOWED_BY,62
103,92,FOLLOWED_BY,62
134,135,FOLLOWED_BY,62
223,81,FOLLOWED_BY,62
83,84,FOLLOWED_BY,62
218,172,FOLLOWED_BY,62
222,223,FOLLOWED_BY,62
141,102,FOLLOWED_BY,62
86,147,FOLLOWED_BY,62
90,91,FOLLOWED_BY,62
179,70,FOLLOWED_BY,62
175,80,FOLLOWED_BY,62
85,86,FOLLOWED_BY,62
79,80,FOLLOWED_BY,62
106,77,FOLLOWED_BY,62
77,131,FOLLOWED_BY,62
233,77,FOLLOWED_BY,62
216,217,FOLLOWED_BY,62
84,85,FOLLOWED_BY,62
96,69,FOLLOWED_BY,62
126,80,FOLLOWED_BY,62
77,178,FOLLOWED_BY,62
74,163,FOLLOWED_BY,62
102,225,FOLLOWED_BY,62
86,131,FOLLOWED_BY,62
74,190,FOLLOWED_BY,62
214,215,FOLLOWED_BY,62
224,141,FOLLOWED_BY,62
199,67,FOLLOWED_BY,62
220,221,FOLLOWED_BY,62
203,204,FOLLOWED_BY,62
103,114,FOLLOWED_BY,62
121,103,FOLLOWED_BY,62
164,77,FOLLOWED_BY,62
77,81,FOLLOWED_BY,62
77,156,FOLLOWED_BY,62
189,167,FOLLOWED_BY,62
98,99,FOLLOWED_BY,62
86,100,FOLLOWED_BY,62
81,67,FOLLOWED_BY,62
101,74,FOLLOWED_BY,62
141,74,FOLLOWED_BY,62
80,211,FOLLOWED_BY,62
77,96,FOLLOWED_BY,62
74,98,FOLLOWED_BY,62
74,63,FOLLOWED_BY,62
63,75,FOLLOWED_BY,62
208,74,FOLLOWED_BY,62
69,144,FOLLOWED_BY,62
210,80,FOLLOWED_BY,62
75,76,FOLLOWED_BY,62
181,182,FOLLOWED_BY,62
229,77,FOLLOWED_BY,62
67,126,FOLLOWED_BY,62
70,240,FOLLOWED_BY,62
120,121,FOLLOWED_BY,62
197,198,FOLLOWED_BY,62
74,142,FOLLOWED_BY,62
125,77,FOLLOWED_BY,62
74,236,FOLLOWED_BY,62
92,186,FOLLOWED_BY,62
102,81,FOLLOWED_BY,62
74,86,FOLLOWED_BY,62
80,176,FOLLOWED_BY,62
176,177,FOLLOWED_BY,62
143,77,FOLLOWED_BY,62
138,67,FOLLOWED_BY,62
80,127,FOLLOWED_BY,62
74,170,FOLLOWED_BY,62
124,125,FOLLOWED_BY,62
92,74,FOLLOWED_BY,62
67,139,FOLLOWED_BY,62
160,70,FOLLOWED_BY,62
231,70,FOLLOWED_BY,62
74,180,FOLLOWED_BY,62
230,86,FOLLOWED_BY,62
82,63,FOLLOWED_BY,62
119,120,FOLLOWED_BY,62
77,149,FOLLOWED_BY,62
63,106,FOLLOWED_BY,62
153,87,FOLLOWED_BY,62
112,113,FOLLOWED_BY,62
136,137,FOLLOWED_BY,62
63,213,FOLLOWED_BY,62
188,189,FOLLOWED_BY,62
113,74,FOLLOWED_BY,62
109,203,FOLLOWED_BY,62
80,226,FOLLOWED_BY,62
146,135,FOLLOWED_BY,62
77,78,FOLLOWED_BY,62
151,85,FOLLOWED_BY,62
198,77,FOLLOWED_BY,62
157,67,FOLLOWED_BY,62
92,122,FOLLOWED_BY,62
71,72,FOLLOWED_BY,62
202,109,FOLLOWED_BY,62
162,145,FOLLOWED_BY,62
107,209,FOLLOWED_BY,62
118,119,FOLLOWED_BY,62
145,74,FOLLOWED_BY,62
104,105,FOLLOWED_BY,62
239,70,FOLLOWED_BY,62
131,201,FOLLOWED_BY,62
166,141,FOLLOWED_BY,62
167,92,FOLLOWED_BY,62
63,64,FOLLOWED_BY,62
80,71,FOLLOWED_BY,62
77,118,FOLLOWED_BY,62
88,89,FOLLOWED_BY,62
88,168,FOLLOWED_BY,62
70,71,FOLLOWED_BY,62
80,74,FOLLOWED_BY,62
77,67,FOLLOWED_BY,62
116,117,FOLLOWED_BY,62
191,192,FOLLOWED_BY,62
70,129,FOLLOWED_BY,62
70,74,FOLLOWED_BY,62
74,82,FOLLOWED_BY,62
89,90,FOLLOWED_BY,62
74,103,FOLLOWED_BY,62
187,77,FOLLOWED_BY,62
135,81,FOLLOWED_BY,62
184,77,FOLLOWED_BY,62
237,238,FOLLOWED_BY,62
99,100,FOLLOWED_BY,62
117,77,FOLLOWED_BY,62
185,92,FOLLOWED_BY,62
219,220,FOLLOWED_BY,62
129,130,FOLLOWED_BY,62
171,81,FOLLOWED_BY,62
147,148,FOLLOWED_BY,62
70,232,FOLLOWED_BY,62
107,126,FOLLOWED_BY,62
137,77,FOLLOWED_BY,62
93,94,FOLLOWED_BY,62
190,191,FOLLOWED_BY,62
77,132,FOLLOWED_BY,62
215,92,FOLLOWED_BY,62
218,115,FOLLOWED_BY,62
234,235,FOLLOWED_BY,62
207,92,FOLLOWED_BY,62
141,167,FOLLOWED_BY,62
194,195,FOLLOWED_BY,62
172,234,FOLLOWED_BY,62
77,74,FOLLOWED_BY,62
186,187,FOLLOWED_BY,62
112,179,FOLLOWED_BY,62
81,219,FOLLOWED_BY,62
87,88,FOLLOWED_BY,62
64,65,FOLLOWED_BY,62
81,103,FOLLOWED_BY,62
149,150,FOLLOWED_BY,62
70,124,FOLLOWED_BY,62
74,237,FOLLOWED_BY,62
105,74,FOLLOWED_BY,62
108,109,FOLLOWED_BY,62
96,63,FOLLOWED_BY,62
115,205,FOLLOWED_BY,62
69,97,FOLLOWED_BY,62
232,233,FOLLOWED_BY,62
211,212,FOLLOWED_BY,62
145,89,FOLLOWED_BY,62
